Output of `python main.py --cuda --epochs 6 --data ../../../visdial_text --model GRU --save model_gru_6.pt 2>&1 | tee model_gru_6.txt`:
| epoch   3 |  2600/15891 batches | lr 20.00 | ms/batch 62.49 | loss  3.86 | ppl    47.66
| epoch   3 |  2800/15891 batches | lr 20.00 | ms/batch 62.52 | loss  3.91 | ppl    49.77
| epoch   3 |  3000/15891 batches | lr 20.00 | ms/batch 62.53 | loss  3.96 | ppl    52.47
| epoch   3 |  3200/15891 batches | lr 20.00 | ms/batch 62.52 | loss  3.94 | ppl    51.28
| epoch   3 |  3400/15891 batches | lr 20.00 | ms/batch 62.47 | loss  3.93 | ppl    50.85
| epoch   3 |  3600/15891 batches | lr 20.00 | ms/batch 62.48 | loss  3.98 | ppl    53.27
| epoch   3 |  3800/15891 batches | lr 20.00 | ms/batch 62.52 | loss  3.92 | ppl    50.46
| epoch   3 |  4000/15891 batches | lr 20.00 | ms/batch 62.50 | loss  3.90 | ppl    49.39
| epoch   3 |  4200/15891 batches | lr 20.00 | ms/batch 62.48 | loss  3.94 | ppl    51.41
| epoch   3 |  4400/15891 batches | lr 20.00 | ms/batch 62.50 | loss  3.91 | ppl    50.00
| epoch   3 |  4600/15891 batches | lr 20.00 | ms/batch 62.49 | loss  3.93 | ppl    50.96
| epoch   3 |  4800/15891 batches | lr 20.00 | ms/batch 62.47 | loss  3.92 | ppl    50.42
| epoch   3 |  5000/15891 batches | lr 20.00 | ms/batch 62.49 | loss  3.95 | ppl    52.01
| epoch   3 |  5200/15891 batches | lr 20.00 | ms/batch 62.52 | loss  3.94 | ppl    51.48
| epoch   3 |  5400/15891 batches | lr 20.00 | ms/batch 62.47 | loss  3.92 | ppl    50.42
| epoch   3 |  5600/15891 batches | lr 20.00 | ms/batch 62.46 | loss  3.93 | ppl    50.82
| epoch   3 |  5800/15891 batches | lr 20.00 | ms/batch 62.49 | loss  3.91 | ppl    49.94
| epoch   3 |  6000/15891 batches | lr 20.00 | ms/batch 62.52 | loss  3.90 | ppl    49.39
| epoch   3 |  6200/15891 batches | lr 20.00 | ms/batch 62.49 | loss  3.89 | ppl    48.68
| epoch   3 |  6400/15891 batches | lr 20.00 | ms/batch 62.52 | loss  3.92 | ppl    50.65
| epoch   3 |  6600/15891 batches | lr 20.00 | ms/batch 62.50 | loss  3.90 | ppl    49.18
| epoch   3 |  6800/15891 batches | lr 20.00 | ms/batch 62.48 | loss  3.95 | ppl    51.69
| epoch   3 |  7000/15891 batches | lr 20.00 | ms/batch 62.49 | loss  3.89 | ppl    48.92
| epoch   3 |  7200/15891 batches | lr 20.00 | ms/batch 62.50 | loss  3.92 | ppl    50.26
| epoch   3 |  7400/15891 batches | lr 20.00 | ms/batch 62.45 | loss  3.88 | ppl    48.64
| epoch   3 |  7600/15891 batches | lr 20.00 | ms/batch 62.45 | loss  3.90 | ppl    49.38
| epoch   3 |  7800/15891 batches | lr 20.00 | ms/batch 62.52 | loss  3.95 | ppl    51.78
| epoch   3 |  8000/15891 batches | lr 20.00 | ms/batch 62.52 | loss  3.95 | ppl    51.92
| epoch   3 |  8200/15891 batches | lr 20.00 | ms/batch 62.48 | loss  3.89 | ppl    48.79
| epoch   3 |  8400/15891 batches | lr 20.00 | ms/batch 62.49 | loss  3.96 | ppl    52.35
| epoch   3 |  8600/15891 batches | lr 20.00 | ms/batch 62.51 | loss  3.89 | ppl    48.95
| epoch   3 |  8800/15891 batches | lr 20.00 | ms/batch 62.46 | loss  3.99 | ppl    54.23
| epoch   3 |  9000/15891 batches | lr 20.00 | ms/batch 62.50 | loss  3.93 | ppl    50.68
